instrument,model,side,bias,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
ES,D,long,BULL_STRONG,2013-02-04 07:00:00+00:00,2013-02-04 15:00:00+00:00,1504.625,1494.7146875000003,-1.0519511028086406,-0.005259755514043203,2,SL,False
GBPCAD,D,short,BEAR_STRONG,2013-02-05 06:00:00+00:00,2013-02-05 22:00:00+00:00,1.57509,1.5587373821428572,1.672836404544299,0.008364182022721494,4,TP2,True
GBPUSD,D,short,BEAR_STRONG,2013-02-06 06:00:00+00:00,2013-02-07 10:00:00+00:00,1.5660899999999998,1.5734797875,-1.0382548944061925,-0.005191274472030962,7,SL,False
EURCHF,C,short,BEAR_STRONG,2013-02-06 14:00:00+00:00,2013-02-11 18:00:00+00:00,1.22947,1.2341086224489797,-1.0429944131986075,-0.0052149720659930374,19,SL,False
EURCAD,C,long,BULL_STRONG,2013-02-06 14:00:00+00:00,2013-02-07 10:00:00+00:00,1.34726,1.3419235357142858,-1.0694123447231836,-0.005347061723615918,5,SL,False
YM,D,long,BULL_STRONG,2013-02-06 15:00:00+00:00,2013-02-07 15:00:00+00:00,13893.5,13816.59375,-1.0346321425611271,-0.005173160712805636,6,SL,False
ES,D,long,BULL_STRONG,2013-02-06 15:00:00+00:00,2013-02-07 15:00:00+00:00,1502.875,1494.7146875000003,-1.0636108056035027,-0.005318054028017514,6,SL,False
EURCAD,C,long,BULL_STRONG,2013-02-07 14:00:00+00:00,2013-02-14 06:00:00+00:00,1.338655,1.338485,1.4059745132695127,0.007029872566347564,28,BE_STOP,True
CADCHF,A,short,BEAR_STRONG,2013-02-07 14:00:00+00:00,2013-02-14 06:00:00+00:00,0.91843,0.9186,0.8398770196954914,0.004199385098477457,28,BE_STOP,True
EURGBP,C,long,BULL_STRONG,2013-02-11 02:00:00+00:00,2013-02-11 22:00:00+00:00,0.846835,0.8562035637755103,2.5344899970121273,0.012672449985060636,5,TP2,True
ES,D,long,BULL_STRONG,2013-02-11 07:00:00+00:00,2013-02-21 03:00:00+00:00,1516.125,1505.8006249999999,-1.0498815252214329,-0.005249407626107165,46,SL,False
AUDNZD,D,short,BEAR_STRONG,2013-02-11 18:00:00+00:00,2013-02-14 22:00:00+00:00,1.227605,1.2163350950892855,1.645844253697605,0.008229221268488025,19,TP2,True
GBPUSD,D,short,BEAR_STRONG,2013-02-12 10:00:00+00:00,2013-02-12 14:00:00+00:00,1.5583399999999998,1.5658817,-1.0413553417341201,-0.005206776708670601,1,SL,False
YM,D,long,BULL_STRONG,2013-02-13 11:00:00+00:00,2013-02-13 19:00:00+00:00,13987.5,13922.937499999998,-1.0415302279484626,-0.005207651139742313,2,SL,False
